fold,sensing,placement,N,basis,estimator,sigma_p,sigma_so,draw,rmse_p,rmse_so
P2-run1,wells-joint,DG-POD,10,POD,L1,2.0,0.05,2,14.099912107637788,0.023445837879094215
P2-run1,wells-joint,DG-POD,10,none,IDW,2.0,0.05,3,1.1609893894843168,0.022356644347020577
P2-run1,wells-joint,DG-POD,10,POD,LS,2.0,0.05,3,10.73654320647879,0.01848352110408304
P2-run1,wells-joint,DG-POD,10,POD,L1,2.0,0.05,3,13.933112570949456,0.02366103894754111
P2-run1,wells-joint,DG-POD,10,none,IDW,2.0,0.05,4,1.096387272403652,0.020481971046045627
P2-run1,wells-joint,DG-POD,10,POD,LS,2.0,0.05,4,10.289412125361496,0.01763333735721455
P2-run1,wells-joint,DG-POD,10,POD,L1,2.0,0.05,4,14.128854765348137,0.024363193682876514
P2-run1,wells-joint,DG-POD,10,none,IDW,2.0,0.05,5,1.0936088451287371,0.02109288326644966
P2-run1,wells-joint,DG-POD,10,POD,LS,2.0,0.05,5,10.372403522597946,0.018233691752422274
P2-run1,wells-joint,DG-POD,10,POD,L1,2.0,0.05,5,14.070376117407179,0.023548819545360224
P2-run1,wells-joint,DG-POD,10,none,IDW,2.0,0.05,6,1.1200847285345688,0.022346380705492698
P2-run1,wells-joint,DG-POD,10,POD,LS,2.0,0.05,6,10.834409840457305,0.019014898469956593
P2-run1,wells-joint,DG-POD,10,POD,L1,2.0,0.05,6,14.027530129112561,0.023882852333232174
P2-run1,wells-joint,DG-POD,10,none,IDW,2.0,0.05,7,1.1342709401845368,0.022523327875332913
P2-run1,wells-joint,DG-POD,10,POD,LS,2.0,0.05,7,10.803145404497075,0.018178752203785998
P2-run1,wells-joint,DG-POD,10,POD,L1,2.0,0.05,7,14.005389046572475,0.023236918610638365
P2-run1,wells-joint,DG-POD,10,none,IDW,2.0,0.05,8,1.1519048511655485,0.02087073860452394
P2-run1,wells-joint,DG-POD,10,POD,LS,2.0,0.05,8,9.80635019570434,0.017326897062042417
P2-run1,wells-joint,DG-POD,10,POD,L1,2.0,0.05,8,14.091853378579636,0.023310825265115326
P2-run1,wells-joint,DG-POD,10,none,IDW,2.0,0.05,9,1.1964193803467218,0.02278320181206918
P2-run1,wells-joint,DG-POD,10,POD,LS,2.0,0.05,9,10.718661152386762,0.018750392579282914
